fid,X,Y,6year,10year,30year,100year,1000year
399,393034.7649,404577.2469,19.3,23,31.6,42.1,72.9
399,389886.2568,404651.6315,19.3,23,31.6,42.1,72.9
328,458958.1866,402196.0109,19.3,23,31.6,42.1,72.9
305,443468.3155,401049.6801,19.3,23,31.6,42.1,72.9
397,365519.3083,400317.852,19.3,23,31.6,42.1,72.9
398,393950.1524,399761.0333,19.3,23,31.6,42.1,72.9
403,357411.025,399765.4406,19.3,23,31.6,42.1,72.9
441,332131.5228,399015.7268,19.3,23,31.6,42.1,72.9
399,381246.2889,399408.5495,19.3,23,31.6,42.1,72.9
399,376367.2691,398599.1704,19.3,23,31.6,42.1,72.9
441,341887.6041,398621.4639,19.3,23,31.6,42.1,72.9
397,361750.2895,397791.6193,19.3,23,31.6,42.1,72.9
399,385618.2177,397187.3992,19.3,23,31.6,42.1,72.9
399,379546.551,396509.9562,19.3,23,31.6,42.1,72.9
441,334792.7392,397026.9365,19.3,23,31.6,42.1,72.9
398,395273.937,394995.987,19.3,23,31.6,42.1,72.9
399,375754.4706,395066.377,19.3,23,31.6,42.1,72.9
398,392169.9936,394983.1748,19.3,23,31.6,42.1,72.9
403,351323.3459,394711.4989,19.3,23,31.6,42.1,72.9
304,442755.0467,392761.6903,19.3,23,31.6,42.1,72.9
323,448123.3142,392462.4204,19.3,23,31.6,42.1,72.9
394,329047.2699,391447.9408,19.3,23,31.6,42.1,72.9
398,378360.7713,391527.0115,19.3,23,31.6,42.1,72.9
401,347877.745,391747.766,19.3,23,31.6,42.1,72.9
441,343892.0283,391301.709,19.3,23,31.6,42.1,72.9
441,339257.546,389885.34,19.3,23,31.6,42.1,72.9
398,389339.4933,389972.3432,19.3,23,31.6,42.1,72.9
324,482068.627,389992.273,19.3,23,31.6,42.1,72.9
398,382951.7094,387336.9188,19.3,23,31.6,42.1,72.9
397,377342.3646,388780.3183,19.3,23,31.6,42.1,72.9
403,362199.6849,390476.9847,19.3,23,31.6,42.1,72.9
394,330021.8926,388050.2859,19.3,23,31.6,42.1,72.9
306,436245.7108,386577.5559,19.3,23,31.6,42.1,72.9
401,351400.1946,386230.8015,19.3,23,31.6,42.1,72.9
404,380022.161,385159.4157,19.3,23,31.6,42.1,72.9
394,334082.8669,382827.7365,19.3,23,31.6,42.1,72.9
394,326843.9965,382656.2937,19.3,23,31.6,42.1,72.9
401,352870.6692,381725.4892,19.3,23,31.6,42.1,72.9
323,470330.5433,380982.0384,19.3,23,31.6,42.1,72.9
404,384551.981,381080.0205,19.3,23,31.6,42.1,72.9
323,458739.2397,379718.8906,19.3,23,31.6,42.1,72.9
394,340087.5676,376006.9022,19.3,23,31.6,42.1,72.9
404,391172.7503,373759.0382,19.3,23,31.6,42.1,72.9
307,437668.699,371895.7548,19.3,23,31.6,42.1,72.9
140,496659.0755,370611.4597,19.3,23,31.6,42.1,72.9
392,365114.0216,366184.8964,19.3,23,31.6,42.1,72.9
391,385809.0531,363155.7928,19.3,23,31.6,42.1,72.9
345,555962.6256,363874.7899,19.3,23,31.6,42.1,72.9
323,454119.3905,360645.2262,19.3,23,31.6,42.1,72.9
323,449314.3025,358843.6749,19.3,23,31.6,42.1,72.9
392,369999.0521,355523.0517,19.3,23,31.6,42.1,72.9
324,480304.4602,353660.2012,19.3,23,31.6,42.1,72.9
315,440452.4261,349967.1052,19.3,23,31.6,42.1,72.9
303,453124.5003,348756.6032,19.3,23,31.6,42.1,72.9
354,384244.8728,346877.5894,19.3,23,31.6,42.1,72.9
312,443805.6915,346634.8747,19.3,23,31.6,42.1,72.9
303,458999.0597,345117.1151,19.3,23,31.6,42.1,72.9
341,532735.3822,343623.7844,19.3,23,31.6,42.1,72.9
354,389176.8714,346278.6177,19.3,23,31.6,42.1,72.9
300,461717.238,342110.958,19.3,23,31.6,42.1,72.9
303,455303.2594,341567.2719,19.3,23,31.6,42.1,72.9
312,446451.8444,341707.0249,19.3,23,31.6,42.1,72.9
300,458528.6309,336707.1503,19.3,23,31.6,42.1,72.9
302,451618.361,336414.3635,19.3,23,31.6,42.1,72.9
141,491520.7498,335927.7804,19.3,23,31.6,42.1,72.9
315,435682.5314,335048.9087,19.3,23,31.6,42.1,72.9
312,448131.0546,333104.5422,19.3,23,31.6,42.1,72.9
310,424231.8785,322969.1593,19.3,23,31.6,42.1,72.9
353,392666.0367,323104.4167,19.3,23,31.6,42.1,72.9
151,524667.7033,322687.7691,19.3,23,31.6,42.1,72.9
126,563305.0884,320772.1793,19.3,23,31.6,42.1,72.9
310,429417.0054,319792.1622,19.3,23,31.6,42.1,72.9
308,475172.2345,319229.8896,19.3,23,31.6,42.1,72.9
313,452588.6261,319240.9127,19.3,23,31.6,42.1,72.9
348,404491.5808,317694.2272,19.3,23,31.6,42.1,72.9
539,349458.2794,312922.3176,19.3,23,31.6,42.1,72.9
353,399023.9254,311043.5713,19.3,23,31.6,42.1,72.9
534,368585.7536,310229.7546,19.3,23,31.6,42.1,72.9
165,622492.2575,309878.9857,19.3,23,31.6,42.1,72.9
150,546401.2609,309716.0626,19.3,23,31.6,42.1,72.9
346,411915.4166,309523.0234,19.3,23,31.6,42.1,72.9
352,405187.2923,309154.8695,19.3,23,31.6,42.1,72.9
156,652518.8623,307298.1286,19.3,23,31.6,42.1,72.9
309,458854.5166,304325.7255,19.3,23,31.6,42.1,72.9
358,421941.0797,303111.9913,19.3,23,31.6,42.1,72.9
335,400163.2122,301732.6614,19.3,23,31.6,42.1,72.9
335,397311.5246,299719.7239,19.3,23,31.6,42.1,72.9
309,460141.5219,298839.3619,19.3,23,31.6,42.1,72.9
353,391451.8439,299382.754,19.3,23,31.6,42.1,72.9
150,518020.5906,298851.5916,19.3,23,31.6,42.1,72.9
335,401569.0498,297867.8945,19.3,23,31.6,42.1,72.9
335,412014.5205,296351.0181,19.3,23,31.6,42.1,72.9
335,395169.5883,296225.0315,19.3,23,31.6,42.1,72.9
358,442432.5213,293637.8434,19.3,23,31.6,42.1,72.9
335,396383.5935,292928.0365,19.3,23,31.6,42.1,72.9
161,653082.3422,292753.9329,19.3,23,31.6,42.1,72.9
335,400872.6387,292858.7152,19.3,23,31.6,42.1,72.9
510,390841.4473,291895.3947,19.3,23,31.6,42.1,72.9
358,435868.3213,291803.2583,19.3,23,31.6,42.1,72.9
510,393974.5427,289402.0868,19.3,23,31.6,42.1,72.9
150,489106.1082,289114.3622,19.3,23,31.6,42.1,72.9
335,399498.4786,287800.9577,19.3,23,31.6,42.1,72.9
510,389326.8324,288463.0939,19.3,23,31.6,42.1,72.9
335,397017.7813,288998.9532,19.3,23,31.6,42.1,72.9
335,401978.4279,288094.9797,19.3,23,31.6,42.1,72.9
152,473314.3463,287250.084,19.3,23,31.6,42.1,72.9
335,408348.7408,285629.3511,19.3,23,31.6,42.1,72.9
510,391835.903,286490.6752,19.3,23,31.6,42.1,72.9
1,435302.9397,286559.2008,19.3,23,31.6,42.1,72.9
510,396517.9736,284279.2596,19.3,23,31.6,42.1,72.9
510,390504.5229,283817.5131,19.3,23,31.6,42.1,72.9
139,586914.7522,283370.308,19.3,23,31.6,42.1,72.9
1,433448.9482,279237.6432,19.3,23,31.6,42.1,72.9
336,413824.0595,279933.6911,19.3,23,31.6,42.1,72.9
130,487550.6697,278226.4376,19.3,23,31.6,42.1,72.9
510,382986.2326,276123.3671,19.3,23,31.6,42.1,72.9
555,451452.9597,275120.4902,19.3,23,31.6,42.1,72.9
355,417188.9128,276331.1379,19.3,23,31.6,42.1,72.9
138,570021.2112,276047.6733,19.3,23,31.6,42.1,72.9
133,523821.2474,272759.8799,19.3,23,31.6,42.1,72.9
1,429411.6219,272012.7216,19.3,23,31.6,42.1,72.9
515,395998.8204,270219.1706,19.3,23,31.6,42.1,72.9
129,488616.3328,268263.9233,19.3,23,31.6,42.1,72.9
150,495549.9433,266631.3233,19.3,23,31.6,42.1,72.9
512,404965.8801,266761.6072,19.3,23,31.6,42.1,72.9
550,432077.204,266049.1268,19.3,23,31.6,42.1,72.9
553,429208.1886,264590.1027,19.3,23,31.6,42.1,72.9
138,585548.685,264376.7136,19.3,23,31.6,42.1,72.9
131,456859.4217,263168.9892,19.3,23,31.6,42.1,72.9
515,389444.7192,262435.4946,19.3,23,31.6,42.1,72.9
129,476299.7489,261279.0552,19.3,23,31.6,42.1,72.9
172,518275.4496,259731.6834,19.3,23,31.6,42.1,72.9
205,604891.243,258513.801,19.3,23,31.6,42.1,72.9
135,546169.6136,258347.2763,19.3,23,31.6,42.1,72.9
514,385633.415,255396.3373,19.3,23,31.6,42.1,72.9
553,419604.2878,255090.1445,19.3,23,31.6,42.1,72.9
180,506151.0949,248610.3454,19.3,23,31.6,42.1,72.9
506,378205.5537,246382.2387,19.3,23,31.6,42.1,72.9
199,566994.0841,245619.4948,19.3,23,31.6,42.1,72.9
205,616851.6986,244191.3698,19.3,23,31.6,42.1,72.9
505,403969.5097,243216.6199,19.3,23,31.6,42.1,72.9
199,588065.3203,241430.3444,19.3,23,31.6,42.1,72.9
119,445276.4651,240790.489,19.3,23,31.6,42.1,72.9
19,351070.2812,239960.4598,19.3,23,31.6,42.1,72.9
182,485426.6058,238545.4103,19.3,23,31.6,42.1,72.9
205,629087.5892,234574.7754,19.3,23,31.6,42.1,72.9
183,486673.3549,233726.675,19.3,23,31.6,42.1,72.9
181,522099.6533,232600.0565,19.3,23,31.6,42.1,72.9
181,518930.086,229617.1465,19.3,23,31.6,42.1,72.9
202,599426.8297,225371.3439,19.3,23,31.6,42.1,72.9
183,492416.7628,225274.9232,19.3,23,31.6,42.1,72.9
229,524793.0213,224519.9836,19.3,23,31.6,42.1,72.9
212,576112.2485,223341.7382,19.3,23,31.6,42.1,72.9
231,507981.9948,223020.5897,19.3,23,31.6,42.1,72.9
112,458309.6105,222839.2116,19.3,23,31.6,42.1,72.9
197,554162.9223,223153.269,19.3,23,31.6,42.1,72.9
509,394221.1476,221995.8965,19.3,23,31.6,42.1,72.9
197,548783.3276,221005.9782,19.3,23,31.6,42.1,72.9
527,384292.3528,217174.7727,19.3,23,31.6,42.1,72.9
201,617614.1383,216167.973,19.3,23,31.6,42.1,72.9
212,581831.9759,214804.4723,19.3,23,31.6,42.1,72.9
215,513722.171,214278.5932,19.3,23,31.6,42.1,72.9
221,481805.0926,213706.0992,19.3,23,31.6,42.1,72.9
230,524569.2158,212945.8672,19.3,23,31.6,42.1,72.9
198,532488.9539,212862.3722,19.3,23,31.6,42.1,72.9
124,435032.508,209915.001,19.3,23,31.6,42.1,72.9
197,545580.4255,209786.0714,19.3,23,31.6,42.1,72.9
215,522042.842,208510.6859,19.3,23,31.6,42.1,72.9
184,537234.6665,208144.9576,19.3,23,31.6,42.1,72.9
216,515961.813,207495.5444,19.3,23,31.6,42.1,72.9
211,571403.3725,207216.2219,19.3,23,31.6,42.1,72.9
212,585322.7802,206844.5202,19.3,23,31.6,42.1,72.9
190,506203.6747,207186.3913,19.3,23,31.6,42.1,72.9
111,452841.2675,205983.6931,19.3,23,31.6,42.1,72.9
123,428624.8891,206712.2648,19.3,23,31.6,42.1,72.9
526,384299.6663,205063.2129,19.3,23,31.6,42.1,72.9
184,534863.2241,202957.4603,19.3,23,31.6,42.1,72.9
222,449681.2808,197710.3787,19.3,23,31.6,42.1,72.9
215,519597.0891,196905.5375,19.3,23,31.6,42.1,72.9
191,543146.3,196419.272,19.3,23,31.6,42.1,72.9
218,513399.1591,196252.4103,19.3,23,31.6,42.1,72.9
184,528794.3381,198494.7494,19.3,23,31.6,42.1,72.9
218,510739.9428,197397.567,19.3,23,31.6,42.1,72.9
207,567811.7049,194985.5331,19.3,23,31.6,42.1,72.9
217,506379.8671,194992.7251,19.3,23,31.6,42.1,72.9
211,560214.0809,194282.4175,19.3,23,31.6,42.1,72.9
235,486410.3286,192866.1846,19.3,23,31.6,42.1,72.9
192,524307.8325,191781.3489,19.3,23,31.6,42.1,72.9
207,580590.7011,191112.7604,19.3,23,31.6,42.1,72.9
222,452133.3124,190422.253,19.3,23,31.6,42.1,72.9
192,515044.3601,189636.5367,19.3,23,31.6,42.1,72.9
191,541081.5398,190459.1191,19.3,23,31.6,42.1,72.9
184,531206.5424,189615.8397,19.3,23,31.6,42.1,72.9
188,553054.5676,187819.6757,19.3,23,31.6,42.1,72.9
184,537858.1909,190108.4172,19.3,23,31.6,42.1,72.9
207,570638.244,188947.0164,19.3,23,31.6,42.1,72.9
207,578798.2993,187981.9028,19.3,23,31.6,42.1,72.9
207,587562.5296,186847.4472,19.3,23,31.6,42.1,72.9
99,417463.8729,187357.0542,19.3,23,31.6,42.1,72.9
192,520250.819,185801.095,19.3,23,31.6,42.1,72.9
98,414599.0454,185516.7675,19.3,23,31.6,42.1,72.9
184,534182.8587,185416.8091,19.3,23,31.6,42.1,72.9
186,526795.5645,186682.6612,19.3,23,31.6,42.1,72.9
188,547760.3854,184857.245,19.3,23,31.6,42.1,72.9
184,531128.8027,184983.5133,19.3,23,31.6,42.1,72.9
207,578992.6405,183299.6746,19.3,23,31.6,42.1,72.9
185,541339.6102,182915.3194,19.3,23,31.6,42.1,72.9
228,508133.8339,182815.9409,19.3,23,31.6,42.1,72.9
207,570566.0941,182727.6073,19.3,23,31.6,42.1,72.9
518,370883.2966,182840.2457,19.3,23,31.6,42.1,72.9
192,516117.463,181630.5902,19.3,23,31.6,42.1,72.9
186,536356.8241,181533.5084,19.3,23,31.6,42.1,72.9
186,527731.6954,181006.9932,19.3,23,31.6,42.1,72.9
239,496852.8327,180665.8564,19.3,23,31.6,42.1,72.9
239,488180.8365,180872.6479,19.3,23,31.6,42.1,72.9
195,523690.9915,178690.2827,19.3,23,31.6,42.1,72.9
195,525568.4364,179564.58,19.3,23,31.6,42.1,72.9
207,562035.1433,178871.5823,19.3,23,31.6,42.1,72.9
208,558732.8884,178439.2873,19.3,23,31.6,42.1,72.9
186,533767.9544,176885.964,19.3,23,31.6,42.1,72.9
523,351623.331,178571.4897,19.3,23,31.6,42.1,72.9
185,542679.2113,176877.4598,19.3,23,31.6,42.1,72.9
189,548567.4649,175573.3432,19.3,23,31.6,42.1,72.9
239,495077.9352,176194.5962,19.3,23,31.6,42.1,72.9
226,471580.9,175806.2578,19.3,23,31.6,42.1,72.9
193,513814.225,175764.0923,19.3,23,31.6,42.1,72.9
524,365244.776,174731.4959,19.3,23,31.6,42.1,72.9
189,554676.565,174191.603,19.3,23,31.6,42.1,72.9
196,526234.77,174096.6005,19.3,23,31.6,42.1,72.9
187,537585.3488,174053.4697,19.3,23,31.6,42.1,72.9
530,391507.2227,173486.3189,19.3,23,31.6,42.1,72.9
523,358884.4323,173304.7795,19.3,23,31.6,42.1,72.9
94,565636.4424,172642.636,19.3,23,31.6,42.1,72.9
186,530831.8949,174396.4069,19.3,23,31.6,42.1,72.9
193,516570.6232,173221.2211,19.3,23,31.6,42.1,72.9
225,470708.4273,172298.2092,19.3,23,31.6,42.1,72.9
239,500706.6959,170860.9137,19.3,23,31.6,42.1,72.9
239,503960.5411,170161.1028,19.3,23,31.6,42.1,72.9
195,524677.4446,168124.3081,19.3,23,31.6,42.1,72.9
108,633975.9805,169831.91,19.3,23,31.6,42.1,72.9
95,574231.8691,166665.337,19.3,23,31.6,42.1,72.9
239,486794.9396,168542.0614,19.3,23,31.6,42.1,72.9
108,638605.8495,168236.0221,19.3,23,31.6,42.1,72.9
239,493243.7046,167990.8202,19.3,23,31.6,42.1,72.9
193,519496.1611,167678.3816,19.3,23,31.6,42.1,72.9
114,447174.2932,166867.2517,19.3,23,31.6,42.1,72.9
223,480429.498,167751.5658,19.3,23,31.6,42.1,72.9
189,542135.5719,160686.1317,19.3,23,31.6,42.1,72.9
193,515298.1617,166494.7092,19.3,23,31.6,42.1,72.9
95,579236.2024,165266.8252,19.3,23,31.6,42.1,72.9
108,611700.9837,165954.4768,19.3,23,31.6,42.1,72.9
95,576273.5551,164888.4888,19.3,23,31.6,42.1,72.9
108,637344.7781,165700.497,19.3,23,31.6,42.1,72.9
524,374418.3636,164556.4684,19.3,23,31.6,42.1,72.9
108,591255.577,166608.2478,19.3,23,31.6,42.1,72.9
196,526711.8722,164371.537,19.3,23,31.6,42.1,72.9
196,533133.0216,164182.6102,19.3,23,31.6,42.1,72.9
193,521621.1924,162950.7294,19.3,23,31.6,42.1,72.9
236,507544.4679,162289.6657,19.3,23,31.6,42.1,72.9
237,503762.8593,161555.6726,19.3,23,31.6,42.1,72.9
486,334103.738,161380.5855,19.3,23,31.6,42.1,72.9
193,520621.841,160843.8558,19.3,23,31.6,42.1,72.9
227,511545.6096,161810.8663,19.3,23,31.6,42.1,72.9
223,489003.8461,160913.4615,19.3,23,31.6,42.1,72.9
193,523353.2828,157829.4823,19.3,23,31.6,42.1,72.9
529,385821.8175,158059.5821,19.3,23,31.6,42.1,72.9
95,570827.1828,158480.0383,19.3,23,31.6,42.1,72.9
109,615017.8086,158060.0858,19.3,23,31.6,42.1,72.9
237,499331.2582,158153.0305,19.3,23,31.6,42.1,72.9
189,552643.9883,155318.6802,19.3,23,31.6,42.1,72.9
95,576225.3752,155076.7295,19.3,23,31.6,42.1,72.9
227,513741.2837,155034.2823,19.3,23,31.6,42.1,72.9
223,486142.4819,155342.5463,19.3,23,31.6,42.1,72.9
223,481050.0634,153426.6328,19.3,23,31.6,42.1,72.9
223,462902.606,152136.7917,19.3,23,31.6,42.1,72.9
223,486914.791,150575.3619,19.3,23,31.6,42.1,72.9
236,501044.9503,152137.9415,19.3,23,31.6,42.1,72.9
227,525620.4715,150178.8255,19.3,23,31.6,42.1,72.9
227,527815.8153,149970.4779,19.3,23,31.6,42.1,72.9
520,377937.6672,148121.995,19.3,23,31.6,42.1,72.9
97,559492.311,146898.1391,19.3,23,31.6,42.1,72.9
214,485478.0917,147097.9142,19.3,23,31.6,42.1,72.9
54,436385.2088,146101.4518,19.3,23,31.6,42.1,72.9
227,528200.8289,143492.8157,19.3,23,31.6,42.1,72.9
109,601195.9385,142259.1799,19.3,23,31.6,42.1,72.9
102,630808.6234,142204.6507,19.3,23,31.6,42.1,72.9
227,527227.4983,140975.4427,19.3,23,31.6,42.1,72.9
97,558864.2005,139833.2461,19.3,23,31.6,42.1,72.9
107,539148.4468,138401.9752,19.3,23,31.6,42.1,72.9
227,527116.194,136681.3791,19.3,23,31.6,42.1,72.9
478,330273.4562,136952.853,19.3,23,31.6,42.1,72.9
102,621050.1661,136643.4448,19.3,23,31.6,42.1,72.9
498,255686.2887,132819.6283,19.3,23,31.6,42.1,72.9
213,489667.8625,132908.1748,19.3,23,31.6,42.1,72.9
32,517900.5755,131419.7083,19.3,23,31.6,42.1,72.9
49,414063.5752,130621.8327,19.3,23,31.6,42.1,72.9
107,551800.9745,130415.7833,19.3,23,31.6,42.1,72.9
56,447510.2699,129522.9107,19.3,23,31.6,42.1,72.9
487,322766.1892,124774.437,19.3,23,31.6,42.1,72.9
105,533673.4867,124153.8626,19.3,23,31.6,42.1,72.9
56,443289.1387,121018.6613,19.3,23,31.6,42.1,72.9
56,446372.8739,119128.4494,19.3,23,31.6,42.1,72.9
125,531349.4369,119167.0985,19.3,23,31.6,42.1,72.9
488,354818.433,116470.1481,19.3,23,31.6,42.1,72.9
56,442433.1576,113523.9767,19.3,23,31.6,42.1,72.9
57,435003.7688,113544.1225,19.3,23,31.6,42.1,72.9
35,469511.0712,112810.8224,19.3,23,31.6,42.1,72.9
104,580604.5016,111019.3294,19.3,23,31.6,42.1,72.9
35,468094.5108,108866.3151,19.3,23,31.6,42.1,72.9
104,573318.5148,108137.2178,19.3,23,31.6,42.1,72.9
35,471390.1628,107180.4976,19.3,23,31.6,42.1,72.9
35,451402.693,107149.7966,19.3,23,31.6,42.1,72.9
125,530517.1149,106265.3196,19.3,23,31.6,42.1,72.9
35,456925.3038,106227.9437,19.3,23,31.6,42.1,72.9
35,486279.8215,105261.1837,19.3,23,31.6,42.1,72.9
125,518506.1109,105063.4209,19.3,23,31.6,42.1,72.9
125,513065.2194,104092.6197,19.3,23,31.6,42.1,72.9
64,443047.7941,104322.9166,19.3,23,31.6,42.1,72.9
36,506924.4339,102805.1839,19.3,23,31.6,42.1,72.9
35,465074.0246,102774.1384,19.3,23,31.6,42.1,72.9
35,455804.7227,102085.8901,19.3,23,31.6,42.1,72.9
104,560949.1543,100942.6067,19.3,23,31.6,42.1,72.9
35,459694.923,100979.5277,19.3,23,31.6,42.1,72.9
33,493245.8846,99763.27999,19.3,23,31.6,42.1,72.9
60,417675.4542,93694.59394,19.3,23,31.6,42.1,72.9
42,409771.0422,93545.18244,19.3,23,31.6,42.1,72.9
81,293460.9542,92359.13014,19.3,23,31.6,42.1,72.9
46,403234.6321,92772.20135,19.3,23,31.6,42.1,72.9
64,449614.2743,89340.80917,19.3,23,31.6,42.1,72.9
80,301454.3702,81848.90905,19.3,23,31.6,42.1,72.9
83,367380.6468,80403.24237,19.3,23,31.6,42.1,72.9
89,286093.8179,71094.63323,19.3,23,31.6,42.1,72.9
90,291719.7986,65427.01914,19.3,23,31.6,42.1,72.9
90,288626.7139,61238.68347,19.3,23,31.6,42.1,72.9
67,248921.4414,57436.93461,19.3,23,31.6,42.1,72.9
491,202324.728,52796.19364,19.3,23,31.6,42.1,72.9
492,182083.4404,44949.47017,19.3,23,31.6,42.1,72.9
417,340417.5208,366541.3446,19.3,23,31.6,42.1,72.9
406,284775.0044,378929.4489,19.3,23,31.6,42.1,72.9
420,333892.6096,350926.1986,19.3,23,31.6,42.1,72.9
15,316367.177,210681.1755,19.3,23,31.6,42.1,72.9
16,305151.2487,207333.3185,19.3,23,31.6,42.1,72.9
384,189800.6343,205353.9821,19.3,23,31.6,42.1,72.9
16,299780.4744,202839.1162,19.3,23,31.6,42.1,72.9
380,251984.0325,200507.1332,19.3,23,31.6,42.1,72.9
3,328729.0123,200270.8553,19.3,23,31.6,42.1,72.9
12,274193.168,197321.6157,19.3,23,31.6,42.1,72.9
13,264964.0017,194740.7243,19.3,23,31.6,42.1,72.9
3,328978.344,195073.9531,19.3,23,31.6,42.1,72.9
16,308283.0332,189649.5249,19.3,23,31.6,42.1,72.9
11,276150.8531,189092.7485,19.3,23,31.6,42.1,72.9
2,332447.7219,187362.5012,19.3,23,31.6,42.1,72.9
15,315029.8307,187473.9594,19.3,23,31.6,42.1,72.9
10,291213.7776,179983.572,19.3,23,31.6,42.1,72.9
16,317335.2703,178632.335,19.3,23,31.6,42.1,72.9
